Entité,Tatouage,Code Exploitant,Axe,Sens,Pr,Famille ,Type famille,Description de l'équipement,Type d'axe,Axe 2aire,État,Local,Équipement parent,Tunnel,Latitude,Longitude,Mise en service le,Sirius 3.0
AGER_OUEST_N,FORFAIT_BATI_OUEST-N,,X,X,"999,9999",LOCAL,FORFAIT-LOCAL,Code fictif pour forfait Batiment Secteur NANTERRE,,,EXPLOI,,,HORS_TUNNEL,,,,Non
AGER_EST,FORFAIT_PORTES_EST,,X,X,"999,9999",LOCAL,FORFAIT-LOCAL,Code fictif pour forfait PORTES tous sites Secteur EST,,,EXPLOI,,,HORS_TUNNEL,,,,Non
AGER_EST,GPE_BATI_EST,,X,X,"999,9999",LOCAL,,"Groupe divers batiments (issue de secours, …) Secteur EST",,,EXPLOI,,,,,,,Non
AGER_NORD,GPE_BATI_NORD,,X,X,"999,9999",LOCAL,,"Groupe divers batiments (issue de secours, …) Secteur NORD",,,EXPLOI,,,,,,,Non
AGER_OUEST_B,GPE_BATI_OUEST-B,,X,X,"999,9999",LOCAL,,"Groupe divers bâtiments (issue de secours, …) Secteur BOULOGNE",,,EXPLOI,,,,,,,Non
AGER_OUEST_N,GPE_BATI_OUEST-N,,X,X,"999,9999",LOCAL,,"Groupe divers bâtiments (issue de secours, …) Secteur NANTERRE",,,EXPLOI,,,,,,,Non
AGER_SUD,GPE_BATI_SUD,,X,X,"999,9999",LOCAL,,"Groupe divers batiments (issue de secours, …) Secteur SUD",,,EXPLOI,,,,,,,Non
AGER_NORD,L10.003J,ST86.5,A86NORD,E,"15,0826",LOCAL,LOCAL-ST,ST 86.5,,,EXPLOI,,L10.447M,HORS_TUNNEL,"48,92375","2,383681",,Non
AGER_NORD,L10.004K,PL_GUICHARD,A1,W,"2,04",LOCAL,LOCAL-PL,PL de Guichard (mitoyen avec Express) - Saint Denis,,,EXPLOI,,,HORS_TUNNEL,"48,92289","2,356356",,Non
AGER_NORD,L10.005L,ST1.1,A1,W,"2,04",LOCAL,LOCAL-ST,ST 1.1,,,EXPLOI,,,HORS_TUNNEL,"48,92292","2,356181",,Non
AGER_NORD,L10.007N,PC_ST1.2,A1,W,4,LOCAL,LOCAL-PC,PC DEN + ST 1.2 - Saint Denis,,,EXPLOI,,,HORS_TUNNEL,"48,932465","2,370203",,Non
AGER_NORD,L10.008P,ST86.6,A86NORD,I,"17,006",LOCAL,LOCAL-ST,ST 86.6,,,EXPLOI,,,HORS_TUNNEL,"48,925682","2,399989",,Non
AGER_NORD,L10.012U,ST1.4,A1,Y,"8,05",LOCAL,LOCAL-ST,ST 1.4,,,EXPLOI,,,HORS_TUNNEL,"48,941746","2,430242",,Non
AGER_NORD,L10.013V,PL_AULNAY,A3,W,14,LOCAL,LOCAL-PL,PL AUL - Aulnay,,,EXPLOI,,,HORS_TUNNEL,"48,961075","2,473169",,Non
AGER_NORD,L10.014W,LC AUL_ST1.5,A3,W,14,LOCAL,LOCAL-LC,LC AUL + ST 1.5 - Aulnay,,,EXPLOI,,,HORS_TUNNEL,"48,961075","2,473169",,Non
AGER_NORD,L10.015X,ST1.6,A3,Y,"16,02",LOCAL,LOCAL-ST,ST 1.6,,,EXPLOI,,,HORS_TUNNEL,"48,97348","2,488275",,Non
AGER_NORD,L10.016Y,ST1.7,A1,Y,16,LOCAL,LOCAL-ST,ST 1.7,,,EXPLOI,,,HORS_TUNNEL,"48,98595","2,506908",,Non
AGER_NORD,L10.017A,ST104.6,A104NORD,I,"3,08",LOCAL,LOCAL-ST,ST 104.6,,,DECONF,,,HORS_TUNNEL,"48,957558","2,529414",,Non
AGER_EST,L10.019D,ST104.4,A104EST,E,"11,03",LOCAL,LOCAL-ST,ST 104.4,,,EXPLOI,,,HORS_TUNNEL,"48,966892","2,605481",,Non
AGER_EST,L10.021F,ST104.3,A104EST,E,"15,05",LOCAL,LOCAL-ST,ST 104.3,,,EXPLOI,,,HORS_TUNNEL,"48,93626","2,628483",,Non
AGER_EST,L10.022G,TR104.3,A104EST,E,17,LOCAL,LOCAL-TR,TR 104.3,,,EXPLOI,,,HORS_TUNNEL,"48,92328","2,630525",,Non
AGER_EST,L10.023H,ST104.2,A104EST,I,"19,07",LOCAL,LOCAL-ST,ST 104.2,,,EXPLOI,,,HORS_TUNNEL,"48,902893","2,647214",,Non
AGER_EST,L10.024J,ST104.1,A104EST,E,"24,04",LOCAL,LOCAL-ST,ST 104.1,,,EXPLOI,,,HORS_TUNNEL,"48,867577","2,670817",,Non
AGER_EST,L10.025K,TR104.1,A104EST,E,"26,03",LOCAL,LOCAL-TR,TR 104.1,,,EXPLOI,,,HORS_TUNNEL,"48,85215","2,662397",,Non
