Tunnel,Nom,Tube,Nb voies,Longueur,nbvoies*longueur
AMBROISE_PARE,AMBROISE PARE,Paris - Province (Y),3,828,2484
AMBROISE_PARE,AMBROISE PARE,Province - Paris (W),3,828,2484
ANTONY,ANTONY (yc Croix de Berny),Tube 1 (BIDIRECTIONNEL),4,850,3400
BELLE-RIVE,BELLERIVE BREGUET,Intérieur,3,1080,3240
BELLE-RIVE,BELLERIVE BREGUET,Extérieur,3,1080,3240
BICETRE,BICÊTRE -  REINE BLANCHE,Tube 1 (BIDIRECTIONNEL),4,258,1032
BICETRE,BICÊTRE – CHU,Tube 1 (BIDIRECTIONNEL),4,188,752
BICETRE,BICÊTRE – Damier phonique CHU,Tube 1 (BIDIRECTIONNEL),4,94,376
BICETRE,BICÊTRE – Damier phonique Curie,Tube 1 (BIDIRECTIONNEL),4,100,400
BICETRE,BICÊTRE – Damier phonique RD50,Tube 1 (BIDIRECTIONNEL),4,112,448
BICETRE,BICÊTRE – Damier phonique RD54,Tube 1 (BIDIRECTIONNEL),4,101,404
BICETRE,BICÊTRE – HBM (rue Kennedy Gide),Tube 1 (BIDIRECTIONNEL),4,355,1420
BICETRE,BICÊTRE – RICARDO,Tube 1 (BIDIRECTIONNEL),4,245,980
BICETRE,BICÊTRE – Winchester,Tube 1 (BIDIRECTIONNEL),4,176,704
BOBIGNY,BOBIGNY - DRANCY,Tube Intérieur,3,2220,6660
BOBIGNY,BOBIGNY - DRANCY,Tube Extérieur,3,2220,6660
BOISSY,BOISSY SAINT LEGER (N19) – PROJET EN COURS,Province - Paris (W),3,2339,7017
BOISSY,BOISSY SAINT LEGER (N19) – PROJET EN COURS,Paris - Province (Y),2,2339,4678
CHAMPIGNY,CHAMPIGNY-SUR-MARNE,Paris - Province (Y),4,781,3124
CHAMPIGNY,CHAMPIGNY-SUR-MARNE,Province - Paris (W),4,746,2984
CHENNEVIERES,CHENNEVIERES,Province - Paris (W),3,460,1380
CHENNEVIERES,CHENNEVIERES,Paris - Province (Y),2,460,920
ECHANGEUR_NANTERRE,COMPLEXE A14-A86  - Tronc Commun B3/B4,Tube 1,2,165,330
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 - Bretelle B1,Tube 1,1,920,920
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 - BRETELLE B3,Tube 1,1,685,685
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 - BRETELLE B4,Tube 1,1,190,190
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 - Bretelle B8,Tube 1,1,335,335
LA_DEFENSE,COMPLEXE A14-A86 - Bretelle RN1013,RN13 vers A14 Paris - Entrée,1,470,470
LA_DEFENSE,COMPLEXE A14-A86 – Bretelle RN1013 - A14 DEFENSE,A14 Prov. vers RN13 - Sortie,2,297,594
LA_DEFENSE,COMPLEXE A14-A86 – Bretelle RN192 - A14 DEFENSE,RN192 vers A14 Paris - Entrée,1,500,500
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 – Bretelle RN314 - A14 ARCHE,RN314 vers A14 Prov. - Entrée,1,320,320
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 – Bretelle VRGS - A14 DEFENSE,A14 Paris vers RD7 - Sortie,1,236,236
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 – Bretelle VRGS - A14 DEFENSE,RD7 vers A14 Prov. - Entrée,1,220,220
ECHANGEUR_NANTERRE,COMPLEXE A14-A86 Bretelle B5 – PROJET EN COURS,Tube 1,1,530,530
FONTENAY,FONTENAY-LE-FLEURY,Paris - Province (Y),5,355,1775
FONTENAY,FONTENAY-LE-FLEURY,Province - Paris (W),4,355,1420
FRESNES,FRESNES ( ZOLA-ROOSEVELT),Tube 1 (BIDIRECTIONNEL),4,465,1860
GUY-MOQUET,GUY MOCQUET-TROU AU RENARD,Tube Intérieur,3,606,1818
GUY-MOQUET,GUY MOCQUET-TROU AU RENARD,Tube Extérieur,3,560,1680
ITALIE,ITALIE (PORTE D'ITALIE A6B VERS B.P),Province - Paris (W),2,150,300
ITALIE,ITALIE (PORTE D'ITALIE B.P VERS A6B),Paris - Province (Y),2,425,850
LA_COURNEUVE,LA COURNEUVE,Tube Extérieur,2,375,750
LA_COURNEUVE,LA COURNEUVE,Tube Intérieur,2,355,710
LA_DEFENSE,COMPLEXE A14-A86  - Bretelle RN192 - A14 DEFENSE,A14 Prov. vers RN192 - Sortie,2,485,970
LA_DEFENSE,COMPLEXE A14-A86  - Bretelle RN314 - A14 ARCHE,A14 Paris vers RN314 - Sortie,1,260,260
LA_DEFENSE,COMPLEXE A14-A86  - DEFENSE,Province - Paris (W),2,1450,2900
